Function_Name,Cyclomatic_Complexity,Function_Length,Number_of_Loops,Modularity,Comment_Quality,Naming_Quality,Final_Score
find_most_frequent_elements,2,4,1,9,7,8,8
do_thing,4,6,2,3,0,3,2
reverse_string,1,3,1,10,9,10,9
calculate_area,2,5,0,9,6,7,7
sum_values,1,2,0,10,8,9,8
find_duplicates,3,7,2,4,3,5,4
generate_random_numbers,1,5,1,8,7,9,8
filter_odd_numbers,1,4,1,10,8,9,9
calculate_average,2,5,1,9,7,8,8
extract_unique_elements,1,4,1,10,6,9,8
proc_data,4,7,2,2,2,1,2
aaa,3,6,1,3,1,0,1
calc,5,10,3,4,1,2,3
work,6,8,2,2,0,1,1
do_stuff,3,6,2,3,2,2,3
foo,2,5,1,2,1,1,2
xyz,4,9,3,1,0,0,1
function1,4,6,2,3,2,2,3
method_a,3,7,2,2,1,0,1
func,2,4,1,2,0,1,1
process_data,10,8,3,2,0,5,3
find_pairs,6,6,2,2,0,6,3
calculate_sums,5,6,1,3,0,7,3
process_numbers,9,8,3,2,0,4,2
analyze_data,5,6,2,3,0,4,3
compute_values,10,9,3,2,0,4,2
max_min_values,6,6,2,3,0,5,3
count_duplicates,6,6,2,3,0,6,3
fibonacci,7,7,2,3,0,6,3
generate_sequence,10,8,3,2,0,5,2
calculate_average_grades,8,7,2,3,9,9,9.0
find_unique_elements,5,5,1,3,8,9,8.0
merge_sorted_lists,6,7,2,3,10,10,9.5
filter_and_sum_numbers,4,4,1,3,9,9,8.5
count_vowels_in_strings,6,6,2,3,9,10,9.0
is_palindrome,3,4,1,3,9,9,9.0
calculate_salary,4,6,1,3,9,9,9.0
get_max_difference,5,5,1,3,9,9,9.0
generate_prime_numbers,8,7,2,3,9,10,9.5
fibonacci_series,5,6,1,3,9,9,9.0
calc_salary,3,3,1,2,6,6,6.0
get_top_students,4,5,1,3,8,7,8.0
handle_user_input,5,6,1,3,7,8,7.0
get_age_from_dob,2,4,0,3,9,9,9.0
get_max_value,3,4,1,3,5,6,5.0
check_prime,4,5,1,3,8,7,8.0
calculate_area,3,3,0,2,9,8,9.0
merge_lists,4,6,1,3,7,7,7.0
reverse_string,3,4,1,3,9,9,9.0
sort_items,3,5,1,3,6,7,7.0
idka,3,8,1,3,0,0,1.0
calcsolve,5,10,3,4,1,3,2.0
work,8,8,2,1,0,1,0.5
do,3,8,5,3,1,0,1.5
solvenumber,2,5,1,2,6,3,2.5
xyzabc,4,9,3,1,8,0,4.5
greet,1,3,0,3,1,6,4.0
methods,3,4,2,2,1,1,1.5
